,account,twitter_link,text,date,likes,comments
25,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1728119120091111814#m,Representing our nation's most civically engaged community in Congress has been the most joyful experience of my life.   Now it’s time to pass the torch - with gratitude and optimism.   https://phillips.house.gov/news/documentsingle.aspx?DocumentID=1003,"Nov 24, 2023 · 6:31 PM UTC",150,220
26,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1725577180737057149#m,"The seventy-five year cycle of human bloodshed must end.  It’s time for a multi-national coalition to create conditions for Israel and Palestine to live side-by-side in mutual security, self-determination, and prosperity.  Please read my statement on the crisis and path forward:","Nov 17, 2023 · 6:10 PM UTC",170,108
27,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1720183318807712169#m,"I'm disgusted that Speaker Johnson's first move as Speaker is to play politics with Israel - offsetting desperately needed assistance with funds meant to hold tax evaders accountable. This effort raises the deficit, undermines U.S. leadership, & emboldens Iran. No more games.","Nov 2, 2023 · 8:57 PM UTC",324,225
28,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1720145554166943777#m,"The censure was an irresponsible, shameful, and dangerous political stunt and I’m glad to see Democrats and Republicans joined hands to put an end to this damaging accusation. (3/3)","Nov 2, 2023 · 6:27 PM UTC",145,15
29,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1720145552900243960#m,"The censure resolution was introduced by a Member of Congress who has a documented history of spewing hate speech, including antisemitic tropes, and *continues* to sympathize with January 6th insurrectionists. (2/3)","Nov 2, 2023 · 6:27 PM UTC",119,17
30,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1720145551285473411#m,.@RepRashida and I have a remarkable friendship. We honor our different lived experiences. We have cried together. We respect one another. And we have fundamental policy differences. (1/3),"Nov 2, 2023 · 6:27 PM UTC",183,65
31,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1719838441402225014#m,My heartfelt condolences go out to the family and friends impacted by this violence. (2/2) https://www.cnn.com/2023/10/31/world/palestinian-american-family-relatives-killed-gaza/index.html,"Nov 1, 2023 · 10:06 PM UTC",37,2
32,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1719838440009662585#m,I am devastated to learn about the members of our community whose family was killed during the ongoing violence between Israel and Hamas in Gaza. Israel must take every precaution to limit civilian harm throughout this operation to defend itself against terrorism. (1/2),"Nov 1, 2023 · 10:06 PM UTC",89,42
33,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1717515058375250383#m,"Heartbroken by the massive loss of life in Lewiston, and disgusted that the greatest nation in the world remains unwilling to do anything about it. Solutions exist across the political spectrum, we just need the courage. And we need it now.","Oct 26, 2023 · 12:14 PM UTC",494,503
34,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1716787827713732972#m,"The dysfunction in the House is a national and global security issue.  I would sit-out the Speaker vote if Tom Emmer will fund our government at negotiated levels, bring Ukraine and Israel aid bills to the floor, and commit to rules changes to make Congress work for the people.🇺🇸","Oct 24, 2023 · 12:04 PM UTC",780,544
